cons,averageTTL,active,life,domainName,target
1,48,7.92881588,8.999315537,cyitstudio.com,0
1,49,22.96235455,24,deperslijst.com,0
1,47,11.00342231,12,first-world-problems.com,0
1,56,21.94113621,23.00068446,johnedwards2004.com,0
1,116,0.002737851,0.999315537,meatopt.com,0
1,56,23.91238877,25.99315537,pinecam.com,0
1,48,21.76043806,24,planetsub.com,0
1,56,4.402464066,5.998631075,poprey.com,0
1,42,13.96303901,15.00068446,soccer-training-guide.com,0
1,56,23.00068446,23.99726215,umfm.com,0
1,56,13.19370294,16,unleashed-technologies.com,0
1,50,14.00410678,15.00068446,waccamawcooling.com,0
1,45,4.785763176,5.785078713,locadeco.fr,0
1,43,19.37850787,20.99931554,a-i-u.net,0
1,49,12.41341547,16,musandam.net,0
1,47,17.83436003,22.99794661,defensecommunities.org,0
1,56,4.177960301,4.999315537,grottepastenaecollepardo.org,0
1,56,16.93360712,17.99863107,mattepainting.org,0
1,241,8.837782341,11.00068446,powerandcabling.org,0
1,49,18.93223819,20,psipw.org,0
1,53,18.13004791,20,skits.tv,0
1,43,15.00068446,24.99657769,asksubmissann.com,0
1,46,20.00273785,20.99931554,bullies2buddies.com,0
1,116,22.55715264,32.55578371,cv.com,0
1,48,20.98562628,21.99863107,foreignstudents.com,0
1,49,8.06844627,8.999315537,gurutravelschennai.com,0
1,52,10.40657084,11.00068446,helpified.com,0
1,41,0,0.999315537,highheelsandbubblegum.com,0
1,51,10.04243669,11.00068446,kings-bounty.com,0
1,119,24.99931554,26.99247091,merlinbike.com,0
1,56,10.98151951,12,neogeox.com,0
1,56,19.00342231,20.27926078,parasol-island.com,0
1,119,24.54757016,25.99589322,singulair.com,0
1,49,6.004106776,7.000684463,thevrcinema.com,0
1,56,21.70020534,23.50992471,wincogen.com,0
1,109,16.60506502,18.99794661,vivus.cz,0
1,44,5.87816564,16,sten.kr,0
1,42,14.00136893,14.99794661,karplab.net,0
1,116,0,0.999315537,reservacruceros.net,0
1,107,10.82819986,12.99931554,wallife.net,0
1,50,20.19712526,24,aicongress.org,0
1,50,3.331964408,8,computersciencezone.org,0
1,50,15.95071869,19.00068446,grantpud.org,0
1,244,5.908281999,7.000684463,ukaiddirect.org,0
1,50,0.112251882,0.999315537,autoinsuranceni.top,0
2,56,21.36618754,23.22518823,sspx.ca,0
1,51,11.00068446,12.99657769,tamilnation.co,0
1,52,4.002737851,4.999315537,arbitragect.com,0
2,54,17.9192334,19.00068446,bookninja.com,0
1,40,7.835728953,9.998631075,cadboke.com,0
1,49,2.948665298,3.997262149,happynewyear2019z.com,0
1,52,11.00342231,12,imaginek12.com,0
1,47,25.00205339,25.99863107,jeffersonelectric.com,0
1,119,15.00342231,16,missaniela.com,0
1,47,17.92197125,19.00068446,mogalla.com,0
2,49,16.62149213,17.99863107,qqju.com,0
1,119,14.00410678,19.00068446,s2slc.com,0
1,56,14.76249144,16,socialcomputingmagazine.com,0
1,48,13.96030116,15.00068446,tastehungary.com,0
1,56,1.59890486,1.998631075,temporaryinbox.com,0
1,47,3.000684463,4,best-fitness.fr,0
1,52,14.12457221,15.00068446,money-forum.info,0
1,56,16.20807666,17.99863107,vi-control.net,0
1,56,3.507186858,6.001368925,globalenergymonitor.org,0
1,48,9.026694045,11.00068446,literoflight.org,0
1,109,20.33127995,21.99863107,mherrera.org,0
1,50,8.878850103,9.998631075,redcoin.pw,0
1,241,19.01437372,19.99726215,scadsucks.us,0
1,47,1.919233402,3.000684463,3inchesofblood.com,0
1,45,20.21902806,29.00205339,50x.com,0
2,64,18.21765914,19.00068446,911forthetruth.com,0
1,46,9.002053388,9.998631075,alethemes.com,0
1,42,17.00205339,17.99863107,altes-beckhaus.com,0
1,54,12.00273785,12.99931554,bioxbio.com,0
1,119,4.002737851,4.999315537,colifestyle.com,0
1,57,25.87542779,27.63039014,flintco.com,0
2,51,3.1321013,4,footballredskinsprostore.com,0
1,116,1.004791239,1.998631075,iclmanresa.com,0
1,47,11.2991102,12,idtspend.com,0
1,52,10.72416153,17.99863107,jxpass.com,0
1,48,28.862423,29.99589322,loki.com,0
2,116,25.00205339,26.00136893,nny.com,0
1,116,3.331964408,4.999315537,pavocoin.com,0
1,119,17.12799452,20.99931554,reactorcritical.com,0
1,116,22.00136893,22.99794661,stevenkang.com,0
1,47,0.993839836,1.998631075,club307.fr,0
1,56,0.432580424,0.999315537,freeonlinewebsitebuilder.info,0
1,48,4.002737851,4,noprescription-online-pharmacy.net,0
1,107,17.95756331,22.99794661,afana.org,0
1,49,21.97946612,22.99794661,depict.org,0
1,47,9.960301164,11.00068446,microbiologybook.org,0
1,49,22.14647502,23.00068446,prism-magazine.org,0
1,47,2.710472279,4,volunteeractioncounts.org,0
1,51,19.03901437,20.00821355,cinde.org.co,0
1,116,0,0.999315537,airmax97-it.com,0
1,56,9.987679671,10.99794661,am870theanswer.com,0
1,47,14.0862423,14.99794661,articlicious.com,0
1,43,22.97604381,23.9945243,b-boys.com,0
1,56,16.00273785,16.99931554,channelpartnersconference.com,0
1,103,21.61259411,21.99863107,ectaportal.com,0
1,43,10.00136893,11.99726215,impactodivino.com,0
1,56,12.00273785,12.99931554,kilmanndiagnostics.com,0
1,53,7.874058864,9.998631075,lucidmyth.com,0
1,52,6.986995209,8,menageproplus.com,0
1,238,13.02395619,17.99863107,mojaver.com,0
1,48,7.942505133,8.999315537,pesosense.com,0
1,51,17.00205339,17.99863107,puppiesandflowers.com,0
1,49,10.00136893,11.00068446,sarawb.com,0
1,56,26.11909651,29.00479124,skiff.com,0
1,50,9.002053388,9.995893224,slumberwise.com,0
1,49,21.96577687,23.00068446,swordsandarmor.com,0
1,50,9.002053388,8.999315537,theback-upplan.com,0
1,56,15.96440794,17.99863107,travelplanet24.com,0
1,47,17.32785763,22.00136893,zankouchicken.com,0
2,48,15.9890486,16.99931554,addsite.info,0
1,55,11.02532512,12.02190281,smartgridexpo.jp,0
1,46,0,0.999315537,worldtopten.net,0
1,241,9.834360027,11.00068446,asirvatham.org,0
1,115,24,24.99657769,cumberlandcounty.org,0
1,56,9.503080082,9.998631075,forumua.org,0
1,49,19.11293634,24,nacep.org,0
1,56,23.91512663,24.99657769,penrosestfrancis.org,0
1,51,13.9028063,14.99794661,playthepast.org,0
1,246,25.82067077,27.00068446,ragbrai.org,0
1,241,24.8569473,30.00136893,wfco.org,0
1,241,19.01437372,19.99726215,usarental.biz,0
1,50,19.00068446,19.99726215,1-act.com,0
1,56,14.00410678,15.00068446,beingpatient.com,0
1,56,10.65571526,12,bluebellflora.com,0
1,119,21.94934976,23.00068446,couplescompany.com,0
1,56,22.9650924,23.99726215,dentalgentlecare.com,0
1,46,1.716632444,4.999315537,desireias.com,0
1,53,25.67830253,27.99726215,fudco.com,0
1,244,17.99041752,19.00068446,happystudio.com,0
1,44,1.002053388,1.998631075,ketelynemdubai.com,0
1,43,17.00205339,20,knujon.com,0
1,212,23.90417522,24.99657769,lightmaker.com,0
1,52,10.97330595,12,moacube.com,0
1,50,21.77138946,24.99383984,oceanstaroec.com,0
1,57,24.99931554,25.99589322,portcw.com,0
1,119,9.215605749,9.995893224,reviewyt.com,0
1,49,21.00205339,21.99863107,rodneysoysterhouse.com,0
1,39,18.21765914,25.00205339,shini.com,0
1,41,0.013689254,0.999315537,tadalafilgeneric-5mg.com,0
1,45,12.99657769,13.99589322,vetotvet.com,0
1,56,6.009582478,7.000684463,aoaoao.me,0
1,56,20.74743326,21.99863107,enlisted.net,0
1,119,18.96783025,21.99589322,fluorideaction.net,0
1,56,21.98767967,22.99794661,altonmemorialhospital.org,0
1,56,21.9192334,26.99520876,hvfcu.org,0
1,241,27.00889802,28.00273785,napl.org,0
1,56,20.91170431,22.99794661,novartisfoundation.org,0
1,57,18.00136893,20,rideart.org,0
1,56,0.032854209,0.999315537,speakingimage.org,0
1,50,13.11704312,13.99863107,templatix.org,0
1,241,17.9137577,21.07323751,mortgageinvestments.biz,0
1,49,11.99726215,20,vincentcheung.ca,0
1,56,24.99657769,25.99315537,artas.com,0
1,56,16.98288843,17.99589322,brokenflowersmovie.com,0
1,46,2.915811088,4,chargersfootballofficialproshop.com,0
1,57,19.54825462,20,efiglobal.com,0
1,43,10.00136893,10.99794661,henrythrash.com,0
1,103,12.92539357,13.99863107,indydisplays.com,0
1,41,5.796030116,7.003422313,iybbs.com,0
1,56,9.002053388,9.998631075,junoactive.com,0
1,119,18.68035592,18.99794661,lionapac.com,0
1,39,15.00068446,15.99726215,paulgalenetwork.com,0
1,232,25.00205339,25.99863107,payroll-taxes.com,0
1,116,15.4934976,16.49007529,penandpapergames.com,0
1,119,0.169746749,1.998631075,projecttimesheet.com,0
1,119,6.004106776,7.000684463,rcuniversity.com,0
1,56,4.391512663,12.99931554,scaleapi.com,0
1,46,15.00342231,15.9835729,sicko-themovie.com,0
1,56,5.065023956,5.998631075,twinbrothersmovers.com,0
1,56,15.91786448,16.99931554,gtav.net,0
1,48,20.90896646,21.99863107,wesleycollege.net,0
1,56,2.945927447,4,afapokerqq.org,0
1,48,7.920602327,8.999315537,anadoluefessk.org,0
1,56,12.91170431,18.00136893,cakefest.org,0
1,119,13.00752909,13.99863107,commongoodeconomics.org,0
1,57,6.904859685,8,quantecon.org,0
1,50,20.98562628,21.99863107,splitrockara.org,0
1,56,24.0054757,27.99726215,wqln.org,0
1,56,3.055441478,4,abehayatco.com,0
2,52,14.56810404,18.00136893,applemacsoft.com,0
1,103,16.69267625,23.99726215,hexie.com,0
1,57,26.61738535,29.27857632,kygo.com,0
1,57,23.99726215,25.99315537,ludeca.com,0
1,50,23.10198494,24,maverickssurf.com,0
1,47,21.10882957,23.09650924,montrealfood.com,0
1,49,13.45653662,13.99863107,nevershoutnever.com,0
1,56,22.00136893,23.00068446,outdoored.com,0
1,48,14.98973306,16,stringbike.com,0
1,111,5.125256674,5.998631075,tukyangfree.com,0
1,48,8.577686516,9.998631075,wpalkane.com,0
2,87,8.002737851,8,xxhs365.com,0
1,56,11.04175222,12.03832991,ashiya-rio.jp,0
1,116,19.03353867,19.00068446,earthsites.net,0
1,56,24,24.99657769,musictoday.com,0
1,56,1.119780972,1.998631075,buyvlaqra.com,0
1,53,24.40793977,25.99589322,tuscaloosanews.com,0
1,56,7.917864476,8.999315537,donorbox.org,0
1,47,12.97193703,13.99863107,oliveogrill.com,0
1,43,26.83915127,27.99726215,horiba.com,0
1,40,19.00342231,22.00136893,qudong.com,0
1,19,17.87816564,20,phpwind.net,0
1,48,23.94524298,24.99657769,kaushik.net,0
1,46,11.9835729,12.99931554,c-way.com.ua,0
1,119,15.00342231,16.99931554,darkroastedblend.com,0
1,46,10.91854894,12,ankiweb.net,0
1,42,8.002737851,8.999315537,scissorthemes.com,0
1,57,23.98631075,24.99657769,delonghi.com,0
1,57,26.00136893,26.99794661,ncpa.org,0
1,49,1.002053388,0.999315537,canadadrugshtwi.com,0
1,119,13.00205339,13.99863107,juegosdemariobros.tv,0
1,57,18.00136893,18.99794661,pitchbook.com,0
1,44,12.89801506,13.99863107,hotcom-web.com,0
1,116,21.90554415,21.99863107,ejohn.org,0
1,51,16.41067762,24,asean.org,0
2,56,23.99726215,24.99657769,hcch.net,0
1,56,21.908282,23.00068446,wng.org,0
1,53,13.95756331,14.99794661,rudaw.net,0
1,51,20.91718001,21.99863107,alexandermcqueen.com,0
1,43,26.98699521,27.99726215,triumph.com,0
1,239,22.98973306,24,greenwichtime.com,0
1,51,33.95756331,34.99794661,sco.com,0
1,50,14.90212183,16,eklablog.net,0
1,52,25.27036277,26.99520876,rabobank.com,0
1,231,26.91033539,27.99726215,agriculture.com,0
1,56,23.98083504,25.99863107,fsb.org.uk,0
1,56,14.11088296,17.99863107,tube8.com,0
1,56,5.004791239,5.998631075,corneey.com,0
1,56,14.00410678,15.00068446,coursehero.com,0
1,56,20.96098563,25.99315537,aciprensa.com,0
1,56,16.10677618,25.00205339,futureoflife.org,0
1,235,22.98973306,24,osram.com,0
1,119,25.98220397,26.99520876,wrc.com,0
1,56,22.64750171,23.6440794,flyertalk.com,0
1,244,21.98220397,23.00068446,photobox.co.uk,0
1,54,8.804928131,12,stratechery.com,0
1,48,10.96235455,12,mrmoneymustache.com,0
1,56,24.78302533,24.99657769,sixt.com,0
1,57,22.98151951,23.9945243,kahoot.com,0
1,56,22.00410678,26.00136893,pocketgamer.com,0
1,56,12.95824778,13.99863107,colorschemedesigner.com,0
1,225,18.00410678,19.00068446,moneymorning.com,0
1,240,21.21013005,22.20944559,lyon.fr,0
1,57,24.91444216,25.99589322,corpwatch.org,0
1,15,19.85215606,24.85147159,kik.com,0
1,56,0.049281314,0.999315537,buyciproonline.com,0
1,54,15.88227242,16.99931554,toyota-global.com,0
1,49,24,24.99657769,the-gadgeteer.com,0
1,232,16.91991786,22.00136893,webpagefx.com,0
1,111,21.56605065,24.99931554,linkwan.com,0
1,42,19.72895277,22.99794661,zikao365.com,0
1,43,27.71252567,28.99657769,no.net,0
1,54,11.91786448,12.99931554,hechingerreport.org,0
1,50,15.6550308,19.6386037,carrefour.fr,0
1,56,24.48459959,31.42778919,whufc.com,0
1,56,4.985626283,5.998631075,hbj-gaming.com,0
1,54,26.99247091,28.00273785,pogo.com,0
1,233,21.31416838,27.00068446,ourgame.com,0
1,56,24.98836413,25.99863107,childline.org.uk,0
1,31,23.58110883,24.66803559,mhi.com,0
1,56,8.002737851,8.999315537,bitcoinexchangeguide.com,0
1,56,18.9650924,20,ridley77.com,0
1,46,11.83572895,16,publicintelligence.net,0
1,119,24.99931554,25.99589322,awea.org,0
1,52,8.914442163,9.998631075,dedecmser.com,0
1,57,12.99657769,13.99863107,pv-magazine.com,0
2,57,23.23887748,28.99383984,additudemag.com,0
1,56,20.99931554,21.99589322,sustainablebrands.com,0
1,116,22.99794661,23.99726215,csgnetwork.com,0
1,50,20.3394935,20.99931554,chomsky.info,0
1,239,17.78781656,22.99794661,endojournals.org,0
1,119,25.98494182,27.00068446,trolltech.com,0
1,57,20.8788501,26.00136893,themarker.com,0
1,56,17.83983573,23.00068446,eturbonews.com,0
1,56,21.35797399,26.99794661,freewebspace.com,0
1,42,15.57289528,16.99931554,qiushibaike.com,0
1,50,23.99726215,33.99589322,ldonline.org,0
1,55,25.908282,30.99794661,psych.org,0
1,42,10.63107461,14.00136893,clickdimensions.com,0
1,54,24.98562628,25.99589322,dailybulletin.com,0
1,49,24.37782341,30.00136893,carm.org,0
1,244,2.729637235,4.999315537,electronjs.org,0
1,56,23.00342231,24,clevescene.com,0
1,57,13.99041752,16,mom.me,0
1,119,19.61396304,25.99589322,sothebysrealty.com,0
1,51,16.0164271,17.99863107,somersethouse.org.uk,0
1,116,5.240246407,8,usermd.net,0
1,41,24.55030801,25.99863107,chinabidding.com,0
2,119,4.016427105,4.999315537,yeezy500.us,0
1,56,16.76933607,21.00205339,bugmenot.com,0
1,237,16.91444216,19.00068446,activecommunities.com,0
1,56,25.91649555,26.99794661,purina.com,0
1,116,22.98699521,24.99657769,chilis.com,0
