cons,Domain Name,active,averageTTL,life,target
1,aicloudemail.com,0.284736482,47,0.999315537,1
2,alliancefingroup.com,0,50,0.999315537,1
1,canadianonlinepharmacyllp.com,0.010951403,56,0.999315537,1
1,centralbkng.com,0,52,0.999315537,1
1,cnrll.com,0.862422998,116,1.998631075,1
1,darcel.info,0.013689254,116,0.999315537,1
2,fccub.com,0.010951403,50,1.002053388,1
1,jpssale.com,0,54,0.999315537,1
1,liveresults.us,0.013689254,56,0.999315537,1
1,ma-ville.fr,6.428473648,48,6.924024641,1
1,netcdnmail.com,0.041067762,44,0.999315537,1
1,paymentclearingcenter.com,5.002053388,241,4.999315537,1
1,saudgroups.com,0.358658453,115,2.001368925,1
1,sbemail1.com,0,116,3.000684463,1
1,shippmar.com,0,111,0.999315537,1
1,unitednationsdc.com,4.002737851,241,4,1
1,wavestoneconsult.com,1.984941821,46,2.997946612,1
1,y2k.info,0.013689254,54,0.999315537,1
1,aicloudemail.com,0.284736482,47,0.999315537,1
2,alliancefingroup.com,0,50,0.999315537,1
1,canadianonlinepharmacyllp.com,0.010951403,56,0.999315537,1
1,centralbkng.com,0,52,0.999315537,1
1,cnrll.com,0.862422998,116,1.998631075,1
1,darcel.info,0.013689254,116,0.999315537,1
2,fccub.com,0.010951403,50,1.002053388,1
1,flmcitgruop.co.uk,4.980150582,42,5.998631075,1
1,jpssale.com,0,54,0.999315537,1
1,liveresults.us,0.013689254,56,0.999315537,1
1,ma-ville.fr,6.428473648,48,6.924024641,1
1,netcdnmail.com,0.041067762,44,0.999315537,1
1,paymentclearingcenter.com,5.002053388,241,4.999315537,1
1,saudgroups.com,0.358658453,115,2.001368925,1
1,sbemail1.com,0,116,3.000684463,1
1,shippmar.com,0,111,0.999315537,1
1,unitednationsdc.com,4.002737851,241,4,1
1,wavestoneconsult.com,1.984941821,46,2.997946612,1
1,y2k.info,0.013689254,54,0.999315537,1
1,aicloudemail.com,0.284736482,47,0.999315537,1
2,alliancefingroup.com,0,50,0.999315537,1
1,canadianonlinepharmacyllp.com,0.010951403,56,0.999315537,1
1,centralbkng.com,0,52,0.999315537,1
1,cnrll.com,0.862422998,116,1.998631075,1
1,darcel.info,0.013689254,116,0.999315537,1
2,fccub.com,0.010951403,50,1.002053388,1
1,flmcitgruop.co.uk,4.980150582,42,5.998631075,1
1,jpssale.com,0,54,0.999315537,1
1,liveresults.us,0.013689254,56,0.999315537,1
1,ma-ville.fr,6.428473648,48,6.924024641,1
1,netcdnmail.com,0.041067762,44,0.999315537,1
1,paymentclearingcenter.com,5.002053388,241,4.999315537,1
1,saudgroups.com,0.358658453,115,2.001368925,1
1,sbemail1.com,0,116,3.000684463,1
1,shippmar.com,0,111,0.999315537,1
1,unitednationsdc.com,4.002737851,241,4,1
1,wavestoneconsult.com,1.984941821,46,2.997946612,1
1,y2k.info,0.013689254,54,0.999315537,1
1,aicloudemail.com,0.284736482,47,0.999315537,1
2,alliancefingroup.com,0,50,0.999315537,1
1,canadianonlinepharmacyllp.com,0.010951403,56,0.999315537,1
1,centralbkng.com,0,52,0.999315537,1
1,cnrll.com,0.862422998,116,1.998631075,1
1,darcel.info,0.013689254,116,0.999315537,1
2,fccub.com,0.010951403,50,1.002053388,1
1,flmcitgruop.co.uk,4.980150582,42,5.998631075,1
1,jpssale.com,0,54,0.999315537,1
1,liveresults.us,0.013689254,56,0.999315537,1
1,ma-ville.fr,6.428473648,48,6.924024641,1
1,netcdnmail.com,0.041067762,44,0.999315537,1
1,paymentclearingcenter.com,5.002053388,241,4.999315537,1
1,saudgroups.com,0.358658453,115,2.001368925,1
1,sbemail1.com,0,116,3.000684463,1
1,shippmar.com,0,111,0.999315537,1
1,unitednationsdc.com,4.002737851,241,4,1
1,wavestoneconsult.com,1.984941821,46,2.997946612,1
1,y2k.info,0.013689254,54,0.999315537,1
1,aicloudemail.com,0.284736482,47,0.999315537,1
2,alliancefingroup.com,0,50,0.999315537,1
1,canadianonlinepharmacyllp.com,0.010951403,56,0.999315537,1
1,centralbkng.com,0,52,0.999315537,1
1,cnrll.com,0.862422998,116,1.998631075,1
1,darcel.info,0.013689254,116,0.999315537,1
2,fccub.com,0.010951403,50,1.002053388,1
1,flmcitgruop.co.uk,4.980150582,42,5.998631075,1
